disc_loss,gen_loss,val_loss
6.7478,-0.0883,-0.1378
-3.2092,-0.2087,-0.5332
-16.7769,-0.9233,-1.892
-25.0158,-2.6847,-4.6028
-24.8389,-5.2912,-8.413
-23.4219,-8.3475,-12.193
-20.4422,-11.77,-15.1517
-17.1799,-14.7853,-17.9403
-14.5603,-17.4085,-21.37
-10.7218,-19.1129,-21.2162
-7.1305,-20.9975,-25.9663
-4.7352,-21.8732,-23.7865
-2.3346,-21.3981,-26.2017
-1.5379,-21.2007,-22.5336
1.0204,-19.5859,-22.6221
1.0105,-17.4907,-18.2607
1.423,-14.3445,-16.0936
0.8353,-11.8412,-13.4246
0.2347,-8.9319,-10.1902
0.754,-5.3772,-5.9943
-0.41,-3.1243,-3.7743
-1.302,-1.7446,-2.8505
-1.1421,-0.8068,-1.0329
-1.11,-0.7906,-1.7846
-0.0867,0.1737,-0.1464
-1.1257,0.7046,0.6754
-0.7039,0.7841,0.2905
7.3373,1.241,1.3289
7.8207,1.8053,1.5308
6.8151,1.9141,1.3914
7.1585,2.2588,1.602
-0.5907,2.5696,2.2792
4.8017,2.8989,2.9518
6.5716,3.1824,2.9972
5.8038,3.5504,3.6194
-0.9007,3.6121,3.0268
5.2982,4.0909,3.8925
4.4452,4.4383,4.2346
6.065,4.8934,4.8339
2.9813,5.553,5.7755
2.0815,5.9316,6.0574
1.4069,6.6371,6.2184
0.4387,7.2254,6.9376
-0.676,7.0999,6.1104
-1.0449,7.4418,7.2984
-1.4302,7.2616,7.0823
-2.2005,7.5802,6.1178
-1.9939,7.1356,6.6162
-2.3108,7.4431,7.1192
-2.0275,6.5903,5.2144
-1.2319,5.8486,5.2242
-0.5723,6.3621,5.4457
-1.9523,5.4959,4.5121
-1.062,4.703,4.1611
1.2416,4.6754,4.3195
-1.742,4.1571,3.3315
0.3387,3.7756,3.651
-1.8472,3.5482,2.7672
-1.4,2.1698,1.7246